genres,final_smoothed_value
Government,1.8603043233100478
History Of Science,1.9960818918423073
How To,2.6005286900580846
Indian Literature,4.853658405077984
Lesbian,4.920454237320767
Lesbian Fiction,2.948039604458219
Medicine,3.7076899085070645
Morocco,1.636634713059883
Neuroscience,1.4118902634429233
Outdoors,1.2934745501403013
Plants,1.2498650976134538
Police,1.675844129
Programming,1.284584665611502
Romanian Literature,1.1378981368389547
Software,1
Southern Gothic,1.747035357592022
Sustainability,1.3579984310566868
Sweden,0.987168867
Technical,1.298207090457019
Wilderness,1
African Literature,1.895384246391765
American Civil War,1.246582182564612
American Revolutionary War,1.3636302268310112
Boarding School,3.0779217692892487
Brain,2.032606965147812
Childrens Classics,1.9044205771841827
Church,1.4682143126461684
Cities,0.9332738283598154
Civil War,2.689076691867376
Comix,1.458729258332198
Ecology,1.4223876267057063
Erotic Romance,1.0715494866145927
Fitness,1.8584577727105966
French Revolution,1.3083331218552985
Historical Mystery,2.011501812108888
Lds,1.6341499495650345
Lds Non Fiction,1.2051353083679162
Leadership,1.495716042208415
Management,1.9406672026874812
Medieval Romance,2.209009365176112
Mormonism,1.179489156
Nigeria,1.409185173631876
Plantagenet,1.1821222025568745
Presidents,1.6689735345422767
Productivity,1.4091840361446533
Russian History,1.0818710855926066
Science Nature,1.3137185879606021
Social Issues,1.3142848676863428
The World,1.1275297857722468
Travelogue,1.5684062241574368
True Story,3.551220242133623
Us Presidents,1
Young Adult Fantasy,4.023256892498971
Academia,0.9561046912504858
Activism,1.4842102574949612
Agriculture,1
Aviation,1.565217062692686
Comic Strips,1.685714208022424
Cthulhu Mythos,1
Cyberpunk,1.1823658544589497
Dogs,2.489666934717076
Dungeons and Dragons,0.8399937732246661
Folk Tales,1
Fostering,1.6857182616358453
Georgian,1.3735506648005145
Judaica,1.141030374
Lovecraftian,1.0073407791092641
Martial Arts,1.0333372344475653
Mathematics,2.928570902126299
Medieval History,1.8333331273358424
Pop Culture,4.386206351372464
Prayer,0.9299720915843233
Queer Lit,1
Sci Fi Fantasy,1.5326083689619328
Taoism,1.1111109875103296
Terrorism,1.8749986396395344
Tudor Period,1.0000063634735943
Tv,2.7965365203729444
Young Readers,1.5256403271160877
Abuse,4.00221009
Demons,-3.50751966
Disease,1.2380641025720434
Fairy Tale Retellings,2.9384613241463313
Genetics,0.9781504053196451
Greek Mythology,1.0000017148710296
Horse Racing,1.3333283463104455
Horses,1.2836425049750675
Humanities,1
Star Wars,2.4947844050977475
Animal Fiction,3.1586420853630135
Cultural Studies,1.2548770059635381
Heroic Fantasy,1.7863344238422578
Kenya,1
Logic,1
Magick,1.0590840419920549
Old Testament,1
Vegan,1.4545447653998629
Beauty and The Beast,1.0818662879901506
Chess,1
Crafts,1.4457605231179924
Cycling,1.4761903868692245
Ethiopia,1
Fae,1.0741235007045915
Fairies,2.0434665888582155
Games,2.16309631
M F Romance,1.6438842691374076
Military Science Fiction,1.748766452528597
Motorcycle,8.999999821185755
Paganism,1.2948727903431207
Punk,1.1538555190035662
Art Design,1.5144112180448743
Biblical,1.3977914238619225
Christian Romance,1.1988533980675629
Ghost Stories,2.0108756027435306
Poverty,1.637351874323926
Quantum Mechanics,1.428673070705831
Wicca,1.999963475106003
Witchcraft,1.0857695044367899
15th Century,1.5128315089586934
Anthropomorphic,1
Buisness,4.453969332717957
Christian Fantasy,2.434578839
Comics Manga,1.9764316767134853
Communication,1.3517786648352645
Lds Fiction,1.8285708982137554
Music Biography,1.227308645182138
Prehistoric,0.9999405786890281
Rock N Roll,2.1416664905591327
Splatterpunk,1.3921832370061713
Unicorns,2.012820340695513
Western Romance,2.7045368794465103
Zimbabwe,1
Archaeology,3.0467829032975056
Basketball,1.0571179150531012
Comic Fantasy,1.4571426411558068
Denmark,1.1604034836214037
Legal Thriller,2.2393156955715354
Marvel,3.0317456167060826
Palaeontology,1
X Men,1.822198654686653
Angels,2.0454555908658567
Astrology,1.1668419079939993
Birds,1.782067321014761
Food Writing,1
Food and Drink,1.2820570306535568
Foodie,1.2132276088428038
Money,3.279999741949854
Hockey,1.3336751039839594
Illness,1.8362544347916718
Lesbian Romance,2.745095353794501
Light Novel,1.5999994983455013
Microhistory,1.2364023599368674
New Adult,12.4565615
Skepticism,1.0000000149011594
Western Historical Romance,0.8456002813287081
