genres,1970-1980,1980-1990,1990-2000,2000-2010,2010-2020,total
Musicians,0,0,3,3,36,42
Own,3,9,8,17,4,41
Presidents,6,4,11,15,5,41
Slice Of Life,0,1,0,29,11,41
Tv,2,6,5,15,13,41
African Literature,6,8,11,13,2,40
Baseball,3,6,8,11,12,40
Football,1,2,8,11,18,40
Pakistan,4,5,2,20,8,39
Romanian Literature,4,10,4,8,13,39
Textbooks,6,9,15,8,1,39
Folklore,9,10,8,6,5,38
Games,2,5,5,16,10,38
Light Novel,0,1,3,21,13,38
Nordic Noir,0,0,7,26,5,38
Adoption,0,0,2,21,14,37
Banned Books,12,11,7,6,1,37
Brain,2,4,8,17,6,37
Egyptian Literature,5,4,6,16,6,37
Chinese Literature,2,4,19,10,1,36
Communication,0,8,10,12,6,36
Ghost Stories,1,7,7,10,11,36
Lesbian Romance,0,1,4,14,17,36
South Africa,5,11,9,9,2,36
Video Games,0,0,5,20,11,36
Computers,3,5,11,9,7,35
Counselling,3,7,12,11,2,35
Czech Literature,8,7,4,8,8,35
Gay Fiction,7,7,8,9,4,35
Mysticism,9,7,10,6,3,35
Archaeology,0,4,5,15,10,34
United States,6,7,6,11,4,34
Wolves,0,0,4,7,23,34
Brazil,10,7,8,4,4,33
Womens Studies,2,6,13,8,3,32
American Civil War,5,5,7,8,6,31
American Revolution,7,0,3,17,4,31
Finnish Literature,8,5,4,7,7,31
Forgotten Realms,0,2,17,10,2,31
History Of Science,3,5,4,11,8,31
Linguistics,3,7,13,6,2,31
Maritime,6,10,10,5,0,31
Romania,5,7,5,8,6,31
Sequential Art,1,4,6,19,1,31
Southern Gothic,5,9,6,11,0,31
Sustainability,5,1,3,17,5,31
Aviation,4,4,5,9,8,30
Lds Fiction,0,4,10,14,2,30
Outdoors,8,4,7,10,1,30
Terrorism,2,0,0,23,5,30
Batman,1,7,4,10,7,29
European Literature,3,7,11,4,4,29
Gaming,0,1,4,12,12,29
Sci Fi Fantasy,3,6,8,11,1,29
Young Adult Historical Fiction,0,4,7,10,8,29
Biblical Fiction,2,1,5,13,7,28
Danish,1,4,5,16,2,28
Gender Studies,5,5,10,4,4,28
Halloween,2,9,5,7,5,28
Lebanon,2,4,6,11,5,28
New Adult Romance,0,0,0,0,28,28
Personal Finance,0,2,10,10,6,28
Programming,3,5,6,9,5,28
Yaoi,0,0,6,15,7,28
African American Literature,5,5,11,5,1,27
